213//2318	9.18895599654875%	223,155,381,329
221//2314	9.55056179775281%	147,361,381,329
2080//2312	89.96539792387543%	56,320,361
216//2312	9.342560553633218%	118,155,381,329
397//2311	17.178710514928603%	3,320,361
361//2303	15.675206252713851%	107,320,361
8//2299	0.34797738147020446%	187,155
217//2297	9.447104919460166%	137,361,381,329
2292//2292	100.0%	56,320,381
364//2286	15.923009623797025%	293,320,155,361
2080//2284	91.06830122591944%	56,320,329
397//2283	17.38939991239597%	3,320,329
573//2283	25.09855453350854%	107,320,381
1724//2282	75.54776511831727%	56,155,361
41//2281	1.7974572555896537%	3,155,361
215//2281	9.425690486628671%	130,155,361,381
361//2276	15.86115992970123%	111,320,361,329
361//2275	15.868131868131869%	107,320,329
357//2273	15.70611526616806%	102,320,361
572//2273	25.164980202375716%	162,320,155,361,381
15//2270	0.6607929515418502%	5,155
359//2269	15.821947994711326%	105,320
6//2268	0.26455026455026454%	272,155,361,329
575//2268	25.35273368606702%	59,320,361,381,329
357//2265	15.76158940397351%	235,320,155
360//2265	15.894039735099337%	162,320,155,361,329
1936//2262	85.58797524314765%	56,155,381
357//2258	15.810451727192206%	223,320,155
364//2258	16.12046058458813%	293,320,155,329
573//2258	25.37643932683791%	255,320,381,329
365//2254	16.19343389529725%	147,320,361
1724//2254	76.48624667258207%	56,155,329
569//2253	25.255215268530847%	102,320,381
41//2253	1.8197958277851753%	3,155,329
357//2245	15.902004454342984%	102,320,329
570//2245	25.389755011135858%	198,320,381
572//2245	25.478841870824052%	162,320,155,381,329
1//2243	0.04458314757021846%	102,155,361
3//2239	0.13398838767306834%	105,155
223//2239	9.95980348369808%	169,361,381
219//2238	9.785522788203753%	59,155,361,381,329
358//2237	16.003576218149306%	198,320,329
577//2234	25.828111011638317%	147,320,381
3//2232	0.13440860215053763%	176,361
219//2231	9.816225907664725%	100,381
11//2231	0.49305244285073957%	169,361,329
365//2226	16.397124887690925%	147,320,329
570//2224	25.6294964028777%	144,320,381,329
213//2224	9.577338129496402%	223,361,381,329
569//2224	25.584532374100718%	212,320,155,361,381
213//2223	9.581646423751687%	102,155,381
216//2218	9.738503155996392%	118,361,381,329
357//2216	16.1101083032491%	212,320,155,361,329
1//2215	0.045146726862302484%	102,155,329
214//2215	9.661399548532732%	198,155,381
218//2213	9.850881156800723%	99,381
215//2212	9.719710669077758%	176,381
223//2211	10.085933966530982%	169,381,329
2//2207	0.09062075215224287%	198,155,329
5//2207	0.22655188038060717%	85,155,361,329
6//2205	0.272108843537415%	99,329
3//2204	0.13611615245009073%	176,329
569//2196	25.910746812386158%	212,320,155,381,329
214//2194	9.7538742023701%	144,155,381,329
214//2192	9.762773722627736%	112,361,381,329
361//2190	16.484018264840184%	163,320
220//2185	10.068649885583524%	187,381
363//2178	16.666666666666668%	59,320,155,361
8//2177	0.3674781809830041%	187,329
15//2176	0.6893382352941176%	5,361
1936//2168	89.2988929889299%	56,361,381
357//2164	16.497227356746766%	223,320,361
364//2164	16.820702402957487%	293,320,361,329
12//2160	0.5555555555555556%	149,155
1724//2160	79.81481481481481%	56,361,329
217//2159	10.050949513663733%	107,361,381
41//2159	1.8990273274664196%	3,361,329
575//2158	26.64504170528267%	59,320,155,381
569//2151	26.452812645281263%	235,320,381
5//2151	0.23245002324500233%	107,361,329
572//2151	26.592282659228268%	162,320,361,381,329
363//2150	16.88372093023256%	59,320,155,329
15//2148	0.6983240223463687%	5,329
3//2145	0.13986013986013987%	105,361
569//2144	26.53917910447761%	223,320,381
357//2143	16.658889407372843%	235,320,329
368//2141	17.18822979915927%	220,320,155,361,329
1936//2140	90.46728971962617%	56,381,329
357//2136	16.713483146067414%	223,320,329
570//2136	26.685393258426966%	303,320,155,361,381
1//2134	0.046860356138706656%	223,155,361
358//2134	16.776007497656984%	144,320,155
8//2134	0.37488284910965325%	293,155,361,329
217//2131	10.18301267010793%	107,381,329
219//2129	10.286519492719586%	116,381
213//2129	10.004697040864256%	102,361,381
4//2128	0.18796992481203006%	118,155,361
215//2125	10.117647058823529%	105,381
11//2121	0.5186232909005186%	169,155
7//2121	0.33003300330033003%	116,329
213//2121	10.042432814710043%	235,155,381
1//2121	0.04714757190004715%	102,361,329
216//2121	10.183875530410184%	162,155,361,381,329
213//2114	10.075685903500473%	223,155,381
1//2113	0.047326076668244205%	235,155,329
221//2110	10.4739336492891%	147,361,381
571//2109	27.07444286391655%	290,320,155,381,329
216//2108	10.246679316888045%	118,155,381
1//2106	0.04748338081671415%	223,155,329
9//2102	0.42816365366317793%	147,361,329
569//2102	27.069457659372027%	212,320,361,381,329
217//2101	10.328415040456925%	129,381
213//2101	10.138029509757258%	102,381,329
4//2100	0.19047619047619047%	118,155,329
217//2093	10.367892976588628%	137,361,381
214//2093	10.224558050645006%	198,381,329
5//2085	0.23980815347721823%	137,361,329
221//2082	10.614793467819405%	147,381,329
2080//2080	100.0%	56,320
397//2079	19.095719095719097%	3,320
361//2072	17.422779922779924%	111,320,361
213//2072	10.27992277992278%	212,155,361,381,329
361//2071	17.431192660550458%	107,320
3//2069	0.14499758337361043%	130,155,361
217//2065	10.508474576271187%	137,381,329
6//2064	0.29069767441860467%	272,155,361
575//2064	27.858527131782946%	59,320,361,381
360//2061	17.467248908296945%	162,320,155,361
363//2056	17.655642023346303%	59,320,361,329
573//2054	27.896786757546252%	255,320,381
364//2054	17.72151898734177%	293,320,155
1724//2050	84.09756097560975%	56,155
41//2049	2.0009760858955588%	3,155
215//2049	10.492923377257199%	130,155,381
219//2049	10.68814055636896%	172,155,361,381,329
361//2046	17.64418377321603%	255,320,329
361//2044	17.661448140900195%	111,320,329
357//2041	17.49142577168055%	102,320
572//2041	28.02547770700637%	162,320,155,381
5//2038	0.24533856722276742%	163,329
6//2036	0.29469548133595286%	272,155,329
575//2036	28.241650294695482%	59,320,381,329
219//2034	10.766961651917404%	59,155,361,381
358//2033	17.609444171175603%	198,320
360//2033	17.707820954254796%	162,320,155,329
571//2033	28.08657156910969%	202,320,361,381,329
11//2027	0.5426739023186976%	169,361
7//2026	0.3455083909180652%	59,155,361,329
365//2022	18.051434223541047%	147,320
213//2020	10.544554455445544%	223,361,381
570//2020	28.217821782178216%	144,320,381
571//2017	28.30937035200793%	121,320,155,381
216//2014	10.724925521350546%	118,361,381
1//2012	0.04970178926441352%	223,361,329
358//2012	17.793240556660038%	144,320,329
357//2012	17.743538767395627%	212,320,155,361
1//2011	0.04972650422675286%	102,155
223//2007	11.11111111111111%	169,381
4//2006	0.19940179461615154%	118,361,329
219//2006	10.917248255234297%	59,155,381,329
2//2003	0.09985022466300549%	198,155
5//2003	0.24962556165751373%	85,155,361
11//1999	0.5502751375687844%	169,329
213//1999	10.655327663831915%	235,381,329
571//1993	28.65027596588058%	119,320,155,361,381,329
213//1992	10.69277108433735%	223,381,329
569//1992	28.56425702811245%	212,320,155,381
214//1990	10.753768844221106%	144,155,381
214//1988	10.764587525150905%	112,361,381
216//1986	10.876132930513595%	118,381,329
217//1986	10.926485397784491%	168,155,361,381
357//1984	17.993951612903224%	212,320,155,329
2//1982	0.10090817356205853%	144,155,329
569//1982	28.708375378405652%	239,320,155,381,329
2//1980	0.10101010101010101%	112,361,329
5//1975	0.25316455696202533%	40,155,329
5//1975	0.25316455696202533%	85,155,329
570//1961	29.06680265170831%	178,320,361,381,329
214//1960	10.918367346938776%	112,381,329
364//1960	18.571428571428573%	293,320,361
1724//1956	88.13905930470348%	56,361
41//1955	2.0971867007672635%	3,361
215//1955	10.997442455242966%	130,361,381
220//1950	11.282051282051283%	135,361,381
5//1947	0.25680534155110424%	107,361
572//1947	29.37853107344633%	162,320,361,381
363//1946	18.653648509763617%	59,320,155
6//1942	0.30895983522142123%	272,361,329
357//1939	18.411552346570396%	235,320
360//1939	18.5662712738525%	162,320,361,329
368//1937	18.998451213216313%	220,320,155,361
1936//1936	100.0%	56,381
569//1935	29.405684754521964%	161,320,155,381
357//1932	18.47826086956522%	223,320
364//1932	18.840579710144926%	293,320,329
8//1930	0.41450777202072536%	293,155,361
1724//1928	89.41908713692946%	56,329
217//1927	11.26102750389206%	107,381
41//1927	2.127659574468085%	3,329
358//1924	18.60706860706861%	303,320,155,361
5//1920	0.2604166666666667%	111,361,329
5//1919	0.26055237102657636%	107,329
572//1919	29.807191245440332%	162,320,381,329
1//1917	0.05216484089723526%	102,361
216//1917	11.267605633802816%	162,155,361,381
218//1914	11.389759665621735%	219,381,329
219//1912	11.45397489539749%	59,361,381,329
1//1909	0.05238344683080147%	235,155
4//1909	0.20953378732320588%	162,155,361,329
368//1909	19.27710843373494%	220,320,155,329
571//1905	29.973753280839894%	290,320,155,381
570//1904	29.936974789915965%	303,320,155,381
1//1902	0.052576235541535225%	223,155
217//1902	11.409043112513144%	255,381,329
8//1902	0.4206098843322818%	293,155,329
569//1900	29.94736842105263%	310,320,155,361,381,329
269//1899	14.165350184307531%	193,155,361,381,329
9//1898	0.47418335089567965%	147,361
569//1898	29.978925184404638%	212,320,361,381
213//1897	11.228255139694253%	102,381
359//1897	18.924617817606748%	290,320,155,329
4//1896	0.2109704641350211%	118,155
216//1896	11.39240506329114%	98,381
357//1890	18.88888888888889%	212,320,361,329
214//1889	11.328745367919534%	198,381
1//1889	0.05293806246691371%	102,329
216//1889	11.434621492853362%	162,155,381,329
570//1887	30.206677265500794%	86,320,361,381,329
217//1886	11.505832449628844%	199,155,361,381,329
2//1881	0.1063264221158958%	198,329
5//1881	0.2658160552897395%	137,361
5//1881	0.2658160552897395%	85,361,329
221//1878	11.767838125665602%	147,381
359//1878	19.1160809371672%	184,320,361
16//1873	0.8542445274959958%	201,361,329
9//1870	0.48128342245989303%	147,329
569//1870	30.427807486631018%	212,320,381,329
214//1868	11.45610278372591%	144,381,329
213//1868	11.402569593147751%	212,155,361,381
217//1861	11.660397635679741%	137,381
1//1860	0.053763440860215055%	212,155,361,329
5//1853	0.26983270372369134%	137,329
363//1852	19.600431965442766%	59,320,361
569//1848	30.79004329004329%	50,320,155,361,381,329
219//1845	11.869918699186991%	172,155,361,381
573//1845	31.056910569105693%	214,320,361,381,329
361//1842	19.59826275787188%	255,320
361//1840	19.619565217391305%	111,320
213//1840	11.576086956521738%	212,155,381,329
220//1839	11.963023382272974%	211,361,381,329
569//1838	30.957562568008704%	189,320,155,381,329
3//1837	0.1633097441480675%	130,155
7//1837	0.38105606967882416%	172,155,361,329
9//1835	0.4904632152588556%	170,361
6//1832	0.32751091703056767%	272,155
575//1832	31.38646288209607%	59,320,381
363//1832	19.814410480349345%	183,320,155,361,329
360//1829	19.682886823400764%	162,320,155
571//1829	31.219245489338437%	202,320,361,381
5//1828	0.2735229759299781%	173,361,329
363//1824	19.901315789473685%	59,320,329
215//1823	11.793746571585299%	153,155,381
569//1823	31.212287438288534%	265,320,155,361,381,329
7//1822	0.38419319429198684%	59,155,361
570//1822	31.28430296377607%	230,320,155,361,381,329
359//1821	19.71444261394838%	202,320,361,329
570//1820	31.318681318681318%	152,320,155,361,381,329
219//1817	12.052834342322509%	172,155,381,329
368//1815	20.27548209366391%	220,320,361,329
569//1812	31.401766004415013%	35,320,155,361,381,329
570//1810	31.49171270718232%	303,320,361,381
358//1808	19.800884955752213%	144,320
1//1808	0.05530973451327434%	223,361
8//1808	0.4424778761061947%	293,361,329
570//1808	31.52654867256637%	254,320,155,361,381,329
359//1805	19.889196675900276%	121,320,155
4//1802	0.22197558268590456%	118,361
219//1802	12.153163152053274%	59,155,381
571//1801	31.70460855080511%	202,320,381,329
213//1795	11.866295264623956%	235,381
216//1795	12.03342618384401%	162,361,381,329
7//1794	0.39018952062430323%	59,155,329
571//1789	31.917272219116825%	119,320,155,361,381
213//1788	11.912751677852349%	223,381
571//1788	31.935123042505595%	231,320,155,361,381
1//1787	0.05595970900951315%	235,329
12//1785	0.6722689075630253%	220,155,361,329
569//1785	31.876750700280112%	88,320,155,361,381,329
571//1783	32.02467750981492%	290,320,381,329
216//1782	12.121212121212121%	118,381
359//1781	20.157215047725998%	119,320,155,361,329
1//1780	0.056179775280898875%	223,329
357//1780	20.0561797752809%	212,320,155
214//1780	12.02247191011236%	303,155,361,381
2//1778	0.1124859392575928%	144,155
569//1778	32.00224971878515%	239,320,155,381
2//1776	0.11261261261261261%	112,361
570//1776	32.0945945945946%	273,320,361,381
570//1775	32.11267605633803%	237,320,155,361,381
4//1774	0.2254791431792559%	118,329
5//1774	0.2818489289740699%	168,155,361
5//1771	0.282326369282891%	40,155
5//1771	0.282326369282891%	85,155
357//1770	20.16949152542373%	239,320,155,329
569//1767	32.2014714204867%	29,320,155,361,381
219//1765	12.407932011331445%	284,155,361,381,329
571//1761	32.42475865985236%	119,320,155,381,329
570//1757	32.44166192373363%	178,320,361,381
214//1756	12.186788154897494%	112,381
217//1754	12.371721778791335%	168,155,381
215//1753	12.26468910439247%	290,155,381,329
570//1750	32.57142857142857%	71,320,155,361,381,329
358//1749	20.468839336763864%	178,320,361,329
3//1749	0.17152658662092624%	204,155,361,329
2//1748	0.11441647597254005%	112,329
213//1746	12.199312714776632%	212,361,381,329
3//1743	0.1721170395869191%	130,361
6//1738	0.34522439585730724%	272,361
8//1738	0.46029919447640966%	135,361
360//1735	20.7492795389049%	162,320,361
6//1734	0.3460207612456747%	226,155,361,329
569//1733	32.833237160992496%	331,320,155,361,381,329
570//1729	32.967032967032964%	178,320,381,329
364//1728	21.064814814814813%	293,320
12//1727	0.6948465547191662%	228,155,361,329
215//1723	12.478235635519443%	130,381
357//1723	20.719674985490425%	161,320,155
219//1723	12.710388856645386%	172,361,381,329
569//1722	33.04297328687573%	346,320,155,361,381,329
358//1720	20.813953488372093%	208,320,155,361,329
220//1718	12.80558789289872%	135,381
5//1716	0.2913752913752914%	111,361
572//1715	33.352769679300295%	162,320,381
218//1710	12.748538011695906%	219,381
